1 3 2.54
2 4 2.33	
3 1 2.54
3	4	7.79
3	5	2.77
4	2	2.33
4	3	7.79
4	6	4.36
5	3	2.77
5	8	3.28
5	10	4.09
6	4	4.36
6	7	7.58
7	6	7.58
7	10	4.08
7	11	4.39
8	5	3.28
8	9	7.32
8	10	4.33
9	8	7.32
9	11	6.09
9	12	4.74
9	24	1.79
10	5	4.06
10	7	4.08	
10	8	4.33
11	7	4.39
11	9	6.09
11	13	5.05
12	9	4.74
12	13	3.97
12	16	4.19
12	25	1.81
13	11	5.05
13	12	3.97
13	14	2.44
14	13	2.44
14	15	1.17
15	14	1.17
15	18	2.29
16	12	4.19
16	17	1.02	
17	16	1.02
17	21	9.46
18	15	2.29
18	20	3.13
18	21	6.83
19	20	1.87
20	18	3.13
20	19	1.87
20	22	3.85
21	17	9.46
21	18	6.83
21	23	3.90
22	20	3.85
22	23	2.51
23	21	3.90
23	22	2.51
24	9	1.79
25	12	1.81
